"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0,0.66,0,-0.04,0,0,0,0,0,-0.03,0,-0.82,0,0,0.03,0,0,0,0.91,0,0,-0.07,0,0,"Neutro"
0.87,0,0.12,-0.05,0,0,0,0,0.97,0,0,-0.88,0,0,0,-0.46,0,0,0,0.6,0.92,0,0,0,"Alegria"
0.93,0,0.02,-0.08,0,0,0.85,0,0.32,0,0,0,0,0,0.02,-0.24,0,0,0.97,0,0.37,0,0,0,"Alegria"
1.58,0,0.03,0,0,-1.77,0,0,0.33,-0.05,-0.58,0,1.57,0,0.06,-0.22,0,0,0.95,0,0.36,0,-0.53,-0.84,"Tristeza"
0,1.09,0.21,0,0,0,0,0,0.29,0,-0.6,-0.68,0.73,0,0,-0.15,0,0,1.76,0,0.31,0,0,-0.92,"Surpresa"
0.93,0,0,-0.07,0,0,0.85,0,0.76,0,0,0,0,0,0,-0.41,0,0,0.97,0,0.74,0,0,-0.86,"Tristeza"
0,0,0.21,0,0,-0.97,0,0,0.27,-0.07,0,0,0.68,0,0.02,-0.11,0,0,0,0,0.26,0,0,-0.96,"Neutro"
0.93,0,0.15,-0.24,-0.62,0,0.85,0,0.36,-0.25,0,0,0.86,0,0,-0.34,0,0,0.97,0.42,0.51,0,0,-0.99,"Neutro"
0,0,0,-0.22,0,0,0,0,0.62,0,0,0,0,0,0.07,-0.4,0,0,0.82,0,0.4,-0.36,0,0,"Tristeza"
1.63,0,0,-0.1,0,-0.76,0.93,0,0.22,-0.06,0,-0.94,0,0,0,-0.15,-0.64,0,1.8,0,0.19,-0.19,0,0,"Surpresa"
0.86,0,0,-0.04,0,0,0,0.34,0.19,0,0,-0.93,0,0,0,-0.24,0,0,0,0.58,0.68,0,0,0,"Surpresa"
0,0,0.1,0,0,0,0,0,0.25,-0.06,0,0,0,0,0,-0.06,0,0,0,0,0.15,0,0,0,"Surpresa"
0,0,0.08,-0.23,0,0,0,0,0.11,-0.06,0,0,0,0,0.04,-0.15,0,0,0,0,0.21,-0.16,0,0,"Neutro"
0,0.66,0.1,0,0,-0.87,0,0,0.1,0,-0.64,0,0.89,0,0,-0.08,0,0,0,0.63,0,0,0,-0.72,"Surpresa"
0,0,0.2,0,-0.52,-0.81,0.88,0,0.24,-0.05,0,0,1.64,0,0,-0.2,0,0,0,0.34,0.05,0,0,-1.82,"Surpresa"
0.93,0.5,0,-0.17,0,0,0,0.45,0.79,0,-0.66,0,0,0,0,-0.6,0,0,0,0.65,1.05,0,0,0,"Alegria"
0.85,0,0.17,0,-0.47,0,0,0.39,0,-0.15,-0.55,0,0,0,0.15,-0.17,0,0,0,0.54,0.06,-0.44,0,0,"Neutro"
0.89,0,0,0,0,0,0.72,0,0,-0.05,0,0,0,0,0,0,0,0,0.92,0,0.05,0,0,0,"Medo"
0,0.63,0,-0.14,0,-1.43,0,0,0.27,0,0,-0.88,1.69,0,0.02,-0.15,0,0,0.78,0,0.26,0,-0.55,-0.83,"Neutro"
0,0,0.09,-0.12,0,-0.89,0,0,0.18,0,0,0,0.94,0,0,-0.13,0,0,0,0,0.11,0,0,0,"Medo"
0,0,0.06,-0.14,0,0,0,0,0.42,0,0,0,0,0,0.02,-0.28,0,0,0,0.35,0.18,0,0,0,"Medo"
0.93,0,0.06,-0.06,0,-0.99,0.85,0,0.21,0,0,0,0,0,0,-0.1,0,-0.8,0.97,0,0.25,0,0,0,"Tristeza"
0,0,0,-0.04,0,0,0,0,0.32,0,0,0,0,0,0,-0.06,0,0,0,0,0.16,0,0,0,"Surpresa"
0,0.63,0.29,0,-0.53,0,0,0,0.29,-0.13,0,-0.88,0.8,0,0.03,-0.2,0,0,0.78,0,0.3,0,0,-0.73,"Tristeza"
0,0,0.14,0,-0.55,-0.91,0,0,0.28,0,0,0,0.96,0,0.04,-0.11,0,-0.73,0,0,0.25,0,0,-1.72,"Tristeza"
0,0,0.2,0,0,0,0,0.35,0.16,-0.06,0,0,0,0,0.16,-0.2,0,0,0,0.38,0.29,0,0,0,"Neutro"
0.77,0,0,0,0,0,0.71,0,0.55,-0.05,0,0,0,0,0.08,-0.25,0,0,0.96,0.42,0.43,0,0,0,"Neutro"
0.93,0,0.13,0,0,0,0.85,0.56,0.16,-0.1,0,0,0,0,0,-0.15,-0.34,0,0.97,0,0.42,0,0,0,"Tristeza"
0.88,0,0.04,0,0,0,0,0,0.22,0,-0.59,0,0,0,0,-0.1,0,-0.75,0,0.53,0.07,0,0,-0.75,"Alegria"
0,0,0.07,-0.07,0,0,0,0,0.13,-0.11,0,0,0,0,0.07,-0.06,0,0,0,0,0.12,-0.16,0,0,"Neutro"
0,0,0,0,0,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,-0.72,"Surpresa"
0.84,0.66,0.09,-0.15,0,-0.76,0,0,0.28,0,-0.61,0,0,0.59,0,-0.16,0,0,0.69,0,0.42,-0.05,0,-0.72,"Medo"
2.52,0,0.08,-0.25,0,0,0,0,0.45,-0.01,0,-2.61,0,0,0.04,-0.19,0,0,2.57,0,0.21,0,0,0,"Neutro"
0,0,0.21,0,0,0,0,0,0.19,0,0,0,0,0,0.02,-0.38,0,0,0,0,0.31,-0.08,0,0,"Neutro"
0.93,0,0.03,-0.12,0,0,1.56,0,0,-0.17,0,0,0,0,0,-0.08,0,0,1.9,0,0,-0.22,0,0,"Alegria"
0.75,0,0,0,0,-0.89,0,0,0.6,-0.05,0,0,0.94,0,0,-0.4,0,0,0.86,0,0.29,0,0,0,"Medo"
0,0.65,0.27,0,0,0,0,0,0.23,-0.05,-0.59,0,0,0,0,0,0,0,0.77,0,0.2,0,0,0,"Neutro"
0,0,0.04,0,0,0,0,0,0,0,0,0,0.96,0,0,-0.08,0,0,0,0,0,-0.06,0,-0.81,"Medo"
0.85,0,0.06,-0.07,0,-0.89,0,0,0.45,0,-0.55,0,0.94,0,0.07,-0.17,0,0,0,0.54,0.36,0,0,-0.88,"Neutro"
0,0,0.04,-0.04,0,0,0,0,0.37,0,0,0,0,0,0.06,-0.28,0,0,0,0,0.35,-0.03,0,0,"Medo"
0.88,0,0,-0.13,0,0,0,0,0.26,-0.08,-0.59,0,0.82,0,0,-0.11,0,0,0,0.53,0.15,-0.07,0,-1.65,"Medo"
0,0,0.06,-0.07,0,0,0,0,0.26,0,0,0,0,0,0,-0.16,0,0,0,0,0.24,0,0,0,"Alegria"
1.93,0,0.04,0,0,0,1.57,0,0.13,0,0,0,0,0,0,-0.08,0,0,1.74,0,0.1,0,0,0,"Surpresa"
0,0,0,-0.03,0,-0.7,0,0,0.09,0,0,0,0,0.52,0,0,0,0,0,0,0.2,0,0,-0.94,"Neutro"
0.82,0.61,0.03,-0.03,-0.57,-0.97,0,0,0.34,0,-0.53,-0.84,1.42,0,0,-0.21,0,0,1.63,0,0.33,0,0,-1.74,"Medo"
0.72,0,0.09,-0.04,-0.62,-0.87,0,0,0.31,0,-0.63,0,0.89,0.66,0,-0.15,0,-0.87,0.9,0,0.37,-0.08,0,-1.66,"Alegria"
0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
1.81,0,0,0,0,-0.86,0,0,0.12,0,0,-1.65,0.9,0,0,0,0,0,0.91,0.58,0,0,0,-0.81,"Medo"
0,0,0.23,-0.2,0,-0.83,0,0,0.66,0,0,0,0,0,0,-0.49,-0.39,0,0,0.34,0.17,-0.11,0,0,"Surpresa"
0.78,0,0.14,0,-0.65,0,0,0,0,-0.13,0,0,0.94,0,0,-0.06,0,0,0,0,0,-0.06,0,-0.85,"Tristeza"
0.77,0.57,0.12,-0.17,0,-0.77,0,0,0.5,-0.05,-1.27,-0.8,0,0.58,0.04,-0.11,0,0,1.55,0.37,0.28,-0.12,0,-0.78,"Surpresa"
0,0,0,-0.19,0,-0.91,0,0,0,0,0,0,0.93,0,0,-0.14,0,0,0,0,0,-0.16,0,-0.72,"Medo"
1.85,0,0,0,0,-0.94,0.8,0,0,0,-0.59,-0.75,0,0,0.02,0,0,-0.7,0,0.53,0,-0.06,0,0,"Medo"
0,0,0.24,0,0,-1.74,0,0,0.53,-0.15,0,0,0,0,0.14,-0.14,-0.39,-0.72,0,0,0.29,-0.38,0,-0.9,"Neutro"
0.72,0.64,0,-0.12,0,0,0,0.64,0.12,0,-0.51,0,0,0,0,-0.59,0,0,0,0.65,0.47,0,0,0,"Surpresa"
0,0,0.1,-0.04,0,0,0,0,0.65,-0.02,-0.66,0,0,0,0.05,-0.31,0,0,0,0.36,0.3,-0.07,0,0,"Medo"
0,0.59,0.04,-0.05,-0.53,0,0,0.65,0.08,0,0,0,0.68,0,0.05,-0.39,0,0,0,0,0.43,0,0,-0.73,"Neutro"
0.85,0,0,0,-0.64,0,0,0,0,0,0,-0.7,0.68,0,0,0,0,0,0.91,0,0,0,0,-0.72,"Tristeza"
0,0.63,0.19,0,0,0,0,0,0.14,0,0,-0.97,0,0,0.02,-0.08,0,0,0.68,0,0.21,0,0,0,"Neutro"
0,0,0.06,-0.18,0,0,0,0,0.82,0,0,0,0,0,0,-0.54,0,0,0,0.44,0.37,0,0,0,"Alegria"
0.96,0,0.04,-0.17,0,-0.85,0.92,0,0.2,0,0,0,0.78,0,0.03,-0.18,0,0,0.9,0,0.64,0,0,-0.9,"Surpresa"
0.89,0,0.18,-0.07,0,-0.98,0.88,0,0.28,-0.15,0,0,0,0,0.2,-0.17,0,0,0,0,0.28,-0.27,0,-0.92,"Neutro"
0,0,0.03,-0.33,0,0,0,0,0.6,-0.08,0,0,0,0,0,-0.41,0,0,0,0,0.47,-0.09,0,0,"Neutro"
0,0,0.1,0,0,-1.91,0,0,0.28,0,0,0,0.69,0.58,0,-0.07,0,0,0,0,0.34,0,-1.19,0,"Neutro"
0.94,0,0.08,0,-1.8,-0.85,0,0.38,0,-0.03,0,0,2.6,0,0.05,-0.22,0,0,0,0,0.05,-0.16,0,-2.73,"Desgosto"
1.65,0,0.04,-0.08,0,-0.89,0.85,0,0.38,-0.06,-0.51,0,0.69,0,0.01,-0.47,0,0,0.97,0.65,0.44,-0.15,0,-0.84,"Alegria"
0,0,0.05,-0.07,0,-0.83,0.71,0,0.56,-0.05,0,0,0.9,0,0,-0.16,0,0,0.93,0,0.43,0,0,-0.67,"Tristeza"
1.63,0.61,0,0,0,0,1.79,0,0,0,-0.53,0,0,0,0,0,0,0,2.62,0,0,0,0,0,"Tristeza"
2.42,0,0.13,0,0,0,0,0,0.33,0,0,-1.67,0,0,0,-0.08,0,0,0.87,0.66,0.28,0,0,0,"Tristeza"
0,0,0,-0.08,-0.6,-0.77,0,0,0.69,0,0,0,0.99,0,0,-0.05,-0.45,0,0,0,0.15,-0.05,0,-0.95,"Neutro"
0.94,0,0.04,0,-0.47,-1.88,0,0.39,0.18,0,0,-0.79,0.91,0,0.04,-0.17,0,-0.73,0,0.57,0.13,-0.17,0,-1.95,"Tristeza"
1,0,0.04,-0.26,-1,0,1,0.41,0.71,-0.02,0,0,0.73,0,0.11,-0.69,0,0,0,0.36,0.28,-0.31,0,-0.93,"Tristeza"
0,0,0.06,-0.03,0,-0.96,0,0,0.5,-0.14,0,0,0,0,0.32,-0.22,0,0,0,0,0.31,0,0,-0.95,"Neutro"
0,0,0.06,-0.14,0,0,0,0,0.35,0,0,0,0,0,0.07,-0.12,0,0,0,0.34,0.2,0,0,0,"Neutro"
0,0,0.26,-0.2,0,0,0,0.35,0,-0.04,0,0,0,0,0,-0.24,0,0,0,0,0.32,-0.24,0,0,"Neutro"
0.73,0,0.05,0,0,-1.58,0.77,0,0.31,0,0,0,0.86,0.52,0,-0.31,0,0,0.84,0,0.16,0,0,-1.74,"Tristeza"
0,0,0.16,-0.16,0,0,0,0,0.26,-0.07,0,0,0,0,0,-0.12,0,0,0,0,0.27,-0.21,0,0,"Neutro"
0,0,0.09,0,0,-0.72,0,0,0.36,0,0,0,0.94,0,0.02,-0.09,0,-0.89,0,0,0,0,0,-0.81,"Alegria"
0,0.61,0.49,0,0,-0.89,0,0.95,0.36,0,0,0,0.94,0,0,-0.83,0,0,0,0.74,0.5,0,0,0,"Neutro"
2.65,0,0.1,0,-0.62,0,0.98,0,0.44,-0.05,0,-1.74,1,0,0,-0.18,0,0,2.5,0,0.54,0,0,-0.68,"Neutro"
1.81,0,0.1,-0.09,0,0,1.56,0,0.8,-0.03,0,0,0,0,0.14,-0.33,0,0,2.71,0,0.71,0,0,0,"Neutro"
0.78,0,0.16,0,0,0,0,0,0.47,0,0,0,0,0,0.03,-0.23,0,0,0,0,0.59,0,0,0,"Neutro"
0.69,0,0,0,0,0,0,0,0,0,-0.58,0,0,0,0,0,0,0,0,0.63,0.08,0,0,0,"Neutro"
0.87,0,0,-0.44,0,0,0.82,0,0.71,-0.05,0,0,0,0,0.04,-0.48,0,0,0.72,0,0.31,-0.27,0,0,"Neutro"
0,0.5,0.13,-0.06,0,0,0,0,0.33,0,0,0,0,0,0.02,-0.11,0,0,0.68,0,0.42,-0.05,0,0,"Neutro"
0,0.61,0.05,-0.14,0,0,0,0,0.25,0,0,-0.74,0,0,0.02,-0.1,0,0,0.72,0,0.28,0,0,0,"Neutro"
0,0.47,0.06,-0.19,-0.52,-1.74,0,0.81,0.49,0,0,0,2.6,0.63,0.01,-0.71,0,0,0,0.37,0.31,-0.2,-0.64,-2.75,"Neutro"
0.93,0,0.07,0,0,0,0.85,0,0.12,0,0,0,0,0,0,-0.15,0,0,0.97,0,0.25,0,0,0,"Neutro"
1.52,0,0,-0.22,0,0,0,0,0.07,0,-1.09,0,0,0,0.02,-0.06,0,0,0.95,0.65,0,0,0,-0.77,"Neutro"
0,0,0,-0.29,0,0,0.71,0,0,0,0,0,0,0,0,-0.24,0,0,0,0,0,-0.13,0,0,"Tristeza"
1.67,0,0,-0.1,0,0,0,0,0.28,-0.08,-0.51,-0.73,0,0,0.05,-0.15,0,0,0.78,0.65,0.22,-0.09,0,0,"Neutro"
0,0,0.04,-0.05,0,-0.7,0,0,0,0,0,0,0.73,0.52,0.03,-0.07,0,0,0.7,0,0.09,-0.05,0,-1.73,"Tristeza"
0.78,0,0.12,0,0,0,0,0,0.43,0,0,0,0,0,0.07,-0.15,0,0,0,0,0.57,0,0,0,"Tristeza"
0.8,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,-0.07,0,0,0.91,0,0.06,0,0,0,"Neutro"
0.9,0,0,-0.09,0,0,0,0,0.28,0,-0.51,0,0,0,0,-0.2,0,-0.75,1.81,0,0.33,0,0,-0.75,"Alegria"
0,0,0,-0.2,0,-0.89,0,0,0.14,-0.05,0,0,0.94,0,0,-0.28,0,0,0,0,0.19,0,0,0,"Neutro"
0,0,0,-0.24,0,-0.71,0,0,0.46,0,0,0,0,0.6,0.01,-0.25,0,0,0,0,0.32,0,0,-0.86,"Tristeza"
0.89,0,0.04,-0.03,0,-0.93,0,0,0.37,0,0,0,0.69,0,0.03,-0.18,0,0,0,0,0.43,0,-0.63,0,"Neutro"
0,0.56,0,-0.15,0,0,0,0,0.17,0,0,-0.7,0,0,0,-0.28,0,0,0.88,0,0.17,-0.05,0,0,"Neutro"
0,0,0.17,0,0,0,0,0,0.68,0,0,0,0,0,0.03,-0.39,0,0,0,0,0.89,0,0,0,"Neutro"
0.75,0,0.02,-0.14,-0.45,-0.89,0,0.41,0.57,0,-0.6,0,0.94,0,0.02,-0.32,0,0,0,0.63,0.4,-0.18,0,0,"Neutro"
1,0,0,-0.15,0,0,0.72,0,0.09,0,0,0,0,0,0,-0.17,0,0,0.77,0,0.17,-0.24,0,0,"Neutro"
0.72,0.47,0.06,0,0,-0.99,0,0.77,0.18,0,-0.51,0,0,0,0,-0.53,0,-0.8,0,1.02,0.67,0,0,0,"Medo"
0,0,0.07,-0.12,0,0,0,0,0.38,-0.06,0,0,0,0,0.12,-0.2,0,0,0,0,0.71,0,0,-0.98,"Desgosto"
0,0,0.16,-0.03,0,-0.98,0,0.35,0.16,0,0,0,0,0,0.02,-0.2,0,-0.82,0,0.38,0.15,-0.04,0,-0.95,"Surpresa"
0,0,0.05,-0.29,0,0,0,0,0.32,-0.04,0,0,0.89,0,0.09,-0.26,0,0,0,0,0.32,-0.09,0,-0.7,"Medo"
0.88,0,0.06,-0.04,0,-0.72,0,0,0.34,0,-1.19,0,0,0,0,-0.21,0,-0.89,0,0.92,0.29,0,0,0,"Alegria"
2.85,0,0.22,-0.04,0,0,0.85,0,0.52,-0.25,-0.66,0,0,0,0.09,-0.56,0,0,0.97,1.58,0.49,0,0,0,"Neutro"
0.7,0,0,0,0,-0.77,0.94,0,0,0,0,0,0.76,0,0,0,0,0,0.72,0,0,0,0,-0.86,"Neutro"
0.72,0,0,0,0,0,0,0,0,-0.05,-0.51,0,0,0,0,0,0,0,0,0.65,0.05,0,0,0,"Desgosto"
0,0,0.15,0,0,-0.78,0,0,0.36,0,0,0,0,0.58,0,0,0,0,0,0,0.34,0,0,-0.87,"Alegria"
0,0,0,-0.17,0,0,0,0,0.45,0,0,0,1.66,0,0,-0.24,0,0,0,0,0.39,0,0,-0.68,"Desgosto"
0.86,0.53,0,0,0,0,0,0,0.14,0,0,-1.66,0,0,0,-0.06,0,0,1.67,0,0.06,0,0,0,"Desgosto"
0.88,0,0.08,-0.03,0,-0.98,0,0,0.3,-0.07,-0.59,0,0,0,0.07,-0.16,0,0,0,0.53,0.28,-0.05,0,-0.94,"Neutro"
0,0,0,-0.52,0,0,0,0,0.23,0,0,0,0,0,0.02,-0.57,0,0,0,0,0.11,0,0,0,"Surpresa"
0.97,0.57,0,-0.14,0,-0.88,0,0,0.07,0,0,-0.72,0.86,0,0.02,0,0,0,0.97,0.52,0,0,0,-0.8,"Desgosto"
0,0,0.06,0,0,-0.89,0,0,0.08,0,0,0,0.93,0,0,0,0,0,0,0,0.24,0,-0.56,0,"Medo"
0.86,0,0.1,-0.11,0,0,0.84,0,0.53,0,0,0,0,0,0,-0.62,0,0,0,0,0.58,0,0,0,"Surpresa"
0.72,0,0,0,-0.47,-0.77,0,0.39,0,0,-0.51,0,0,0,0,-0.17,0,-0.74,0,0.65,0,-0.17,0,-0.72,"Desgosto"
0,0,0,-0.32,0,0,0,0,0.12,0,0,0,0.73,0,0,-0.32,0,0,0,0,0.07,-0.13,0,-0.76,"Tristeza"
0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,-0.18,0,0,0,0,0.2,0,0,0,"Neutro"
0.95,0,0.04,0,-0.64,-0.73,0,0,0,-0.12,0,-0.73,1.74,0,0,0,0,0,0.78,0,0.05,-0.04,0,-2.49,"Tristeza"
0,0,0.13,-0.25,0,-0.99,0,0,0.49,0,0,0,0,0,0.01,-0.39,0,-0.8,0,0,0.46,0,0,0,"Tristeza"
0,0,0.13,0,0,-1.88,0,0,0.39,0,0,0,0,0.65,0.02,-0.22,0,-0.8,0,0,0.41,0,-0.51,-0.74,"Neutro"
2.4,0.57,0,0,0,0,1.47,0,0.37,0,-0.58,0,0,0,0,-0.36,-0.34,0,2.53,0.87,0.26,0,0,0,"Medo"
0,0,0.14,-0.15,0,0,0,0,0.14,0,0,0,0,0,0.01,-0.3,0,0,0,0,0.1,-0.15,0,0,"Neutro"
0,0,0.02,0,0,0,0,0,0.16,0,0,0,0.98,0,0.07,0,0,0,0,0,0.18,0,0,-0.89,"Neutro"
0,0,0,-0.1,0,-0.97,0,0,0.46,0,0,0,0.7,0,0,-0.17,0,0,0,0,0.41,-0.1,0,-0.96,"Tristeza"
1.86,0,0.28,-0.03,0,-0.91,1.59,0.41,0.5,0,0,0,0.85,0,0,-0.57,0,0,1.85,0.45,0.4,-0.09,0,-0.77,"Neutro"
1.74,0,0.07,-0.14,0,-0.92,0,0,0.21,0,-1.11,0,0.86,0,0.07,-0.05,0,0,0,1.23,0.34,0,0,-0.9,"Neutro"
0.84,0,0.22,0,0,-1.9,0,0.61,0.43,0,0,-0.94,0,0.54,0,-0.67,0,0,0.95,0,0.58,0,-0.55,-0.93,"Tristeza"
0,1.03,0,0,-0.38,-0.85,0,0.39,0.42,-0.05,-0.59,0,0.78,0,0,-0.22,-0.73,0,0.77,0,0.64,0,0,-0.9,"Neutro"
0.79,0.59,0.03,-0.31,0,0,0.87,0.65,0.91,-0.01,0,0,0.97,0,0.02,-0.86,0,0,0,0,1.27,-0.04,0,-0.91,"Neutro"
0,0,0.06,0,0,0,0,0,0.38,0,0,0,0,0,0,-0.07,0,0,0,0,0.24,0,0,0,"Tristeza"
0.93,0,0.51,-0.06,-0.44,-0.77,0.85,0,0.35,-0.17,0,0,0,0,0.01,-0.22,0,-0.74,0.97,0,0.59,-0.07,-0.41,-0.72,"Raiva"
0,0,0,0,-0.46,-1.69,0,0.41,0.12,0,0,0,0.7,0,0,-0.38,0,-0.8,0,0,0.3,-0.18,0,-0.72,"Tristeza"
0,0.66,0.1,0,0,0,0,0,0,-0.03,0,-0.82,0,0,0,0,0,0,0.95,0,0,-0.03,0,0,"Neutro"
0.88,0,0.09,0,-0.52,-0.7,0,0,0.22,-0.01,-0.59,0,0.78,0.52,0,-0.28,0,-0.75,0,0.53,0.32,0,0,-2.67,"Neutro"
0,0,0.07,-0.04,0,0,0,0,0.99,0,0,0,0,0,0,-0.7,0,0,0,0.76,0.38,0,0,0,"Neutro"
0.78,0,0,0,0,0,0.8,0,0,-0.08,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,"Neutro"
1.71,0,0.04,-0.05,0,0,0.85,0,0.12,-0.05,0,0,0,0,0,-0.05,0,0,1.68,0,0.13,0,0,0,"Tristeza"
0.91,0,0.4,-0.06,0,-0.91,0,0.35,0.32,-0.1,0,-0.84,0,0,0.11,-0.68,0,-0.73,0.82,0,0.91,-0.1,0,-0.99,"Medo"
0,0,0,0,-0.57,-1.7,0,0,0.16,0,0,0,1.45,0,0,-0.1,0,-1.93,0,0,0.23,0,0,-4.02,"Medo"
0.83,0,0.03,0,0,0,0,0,0.11,-0.05,0,0,0,0,0,-0.07,0,0,0,0,0.05,0,0,0,"Medo"
1.7,0,0.06,0,0,0,1.66,0,0.08,0,0,0,0,0,0,-0.08,0,0,1.7,0,0.24,0,0,-0.86,"Tristeza"
0.99,0,0.15,-0.11,0,0,0,0,0.62,-0.13,0,0,0,0,0,-0.36,0,0,0.98,0,0.63,-0.05,0,0,"Neutro"
0.93,0,0.22,-0.12,0,-0.72,0.85,0,0.16,-0.04,0,0,0.88,0,0,-0.13,0,0,0.97,0,0.22,-0.25,0,-0.76,"Neutro"
2.63,0,0.07,0,-1.12,0,1.72,0,0.46,0,0,0,1.4,0,0.01,0,0,0,1.76,0,0.42,0,0,-1.76,"Surpresa"
0,0,0,-0.2,0,0,0,0,0.21,-0.02,0,0,0.73,0,0.02,-0.38,0,0,0,0,0.08,-0.15,0,-0.76,"Surpresa"
0.86,0,0,-0.06,0,0,0,0,0.22,0,0,-0.79,0,0,0,-0.23,0,0,0.93,0,0.4,0,0,0,"Medo"
0.75,0,0,0,0,0,0,0,0.29,0,-0.6,0,0,0,0,-0.1,0,0,0,0.63,0.41,0,0,0,"Neutro"
0,0,0,0,-0.52,0,0,0,0,-0.05,0,0,0.78,0,0,0,0,0,0,0,0.05,0,0,-0.98,"Surpresa"
1.77,0.96,0,0,0,0,0.72,0.39,0,0,-0.62,0,1.52,0,0,-0.22,0,-0.75,1.66,0.6,0.2,0,0,-1.67,"Alegria"
1.63,0.61,0.42,0,0,0,0.79,0.46,0.08,-0.08,-0.53,-0.8,0.94,0,0.04,-0.09,-0.35,0,2.67,0.44,0.23,0,0,-0.81,"Neutro"
0,0,0.1,0,-0.63,0,0,0,0,-0.03,0,0,0.83,0,0,0,0,-0.71,0,0,0,-0.03,0,-1.51,"Alegria"
0.79,0,0.12,0,0,-0.92,0.87,0,0.28,0,0,0,0.86,0,0,-0.11,0,0,0,0,0.33,0,0,-0.9,"Neutro"
0.83,0.49,0,-0.03,0,0,0.67,0,0.12,0,0,0,0,0,0,-0.34,0,0,0,0,0.33,-0.1,0,0,"Surpresa"
0.73,0,0,0,-0.64,-0.88,0.77,0,0.17,0,0,0,1.55,0,0,-0.09,0,0,0.84,0,0.09,0,0,-1.47,"Tristeza"
0.73,0,0.04,0,0,-0.77,0,0,0,0,-0.57,0,0.76,0,0,0,0,0,0,0.62,0.07,0,0,-0.86,"Tristeza"
0,0,0.04,-0.13,-0.64,0,0,0,0.18,-0.06,0,0,0,0.61,0,0,0,0,0,0,0.21,-0.13,0,-0.85,"Alegria"
